,002604.SZ,300216.SZ,002290.SZ,000707.SZ,300163.SZ,300030.SZ,600186.SH,300141.SZ,000737.SZ,300591.SZ,300210.SZ,002743.SZ,601798.SH,002289.SZ,002347.SZ,603628.SH,300281.SZ,600107.SH,002501.SZ,002045.SZ,002432.SZ,000868.SZ,000911.SZ,600074.SH,002684.SZ,300153.SZ,002560.SZ,300345.SZ,002604.SZ,300216.SZ,002290.SZ,000707.SZ,300163.SZ,300030.SZ,600186.SH,300141.SZ,000737.SZ,300591.SZ,300210.SZ,002743.SZ,601798.SH,002289.SZ,002347.SZ,603628.SH,300281.SZ,600107.SH,002501.SZ,002045.SZ,002432.SZ,000868.SZ,000911.SZ,600074.SH,002684.SZ,300153.SZ,002560.SZ,300345.SZ,002604.SZ,300216.SZ,002290.SZ,000707.SZ,300163.SZ,300030.SZ,600186.SH,300141.SZ,000737.SZ,300591.SZ,300210.SZ,002743.SZ,601798.SH,002289.SZ,002347.SZ,603628.SH,300281.SZ,600107.SH,002501.SZ,002045.SZ,002432.SZ,000868.SZ,000911.SZ,600074.SH,002684.SZ,300153.SZ,002560.SZ,300345.SZ,002604.SZ,300216.SZ,002290.SZ,000707.SZ,300163.SZ,300030.SZ,600186.SH,300141.SZ,000737.SZ,300591.SZ,300210.SZ,002743.SZ,601798.SH,002289.SZ,002347.SZ,603628.SH,300281.SZ,600107.SH,002501.SZ,002045.SZ,002432.SZ,000868.SZ,000911.SZ,600074.SH,002684.SZ,300153.SZ,002560.SZ,300345.SZ,002604.SZ,300216.SZ,002290.SZ,000707.SZ,300163.SZ,300030.SZ,600186.SH,300141.SZ,000737.SZ,300591.SZ,300210.SZ,002743.SZ,601798.SH,002289.SZ,002347.SZ,603628.SH,300281.SZ,600107.SH,002501.SZ,002045.SZ,002432.SZ,000868.SZ,000911.SZ,600074.SH,002684.SZ,300153.SZ,002560.SZ,300345.SZ,
,*ST龙力,千山药机,*ST中科,ST双环,先锋新材,阳普医疗,*ST莲花,和顺电气,ST南风,万里马,森远股份,富煌钢构,ST蓝科,*ST宇顺,泰尔股份,清源股份,金明精机,美尔雅,*ST利源,国光电器,九安医疗,*ST安凯,*ST南糖,*ST保千,*ST猛狮,科泰电源,通达股份,红宇新材,*ST龙力,千山药机,*ST中科,ST双环,先锋新材,阳普医疗,*ST莲花,和顺电气,ST南风,万里马,森远股份,富煌钢构,ST蓝科,*ST宇顺,泰尔股份,清源股份,金明精机,美尔雅,*ST利源,国光电器,九安医疗,*ST安凯,*ST南糖,*ST保千,*ST猛狮,科泰电源,通达股份,红宇新材,*ST龙力,千山药机,*ST中科,ST双环,先锋新材,阳普医疗,*ST莲花,和顺电气,ST南风,万里马,森远股份,富煌钢构,ST蓝科,*ST宇顺,泰尔股份,清源股份,金明精机,美尔雅,*ST利源,国光电器,九安医疗,*ST安凯,*ST南糖,*ST保千,*ST猛狮,科泰电源,通达股份,红宇新材,*ST龙力,千山药机,*ST中科,ST双环,先锋新材,阳普医疗,*ST莲花,和顺电气,ST南风,万里马,森远股份,富煌钢构,ST蓝科,*ST宇顺,泰尔股份,清源股份,金明精机,美尔雅,*ST利源,国光电器,九安医疗,*ST安凯,*ST南糖,*ST保千,*ST猛狮,科泰电源,通达股份,红宇新材,*ST龙力,千山药机,*ST中科,ST双环,先锋新材,阳普医疗,*ST莲花,和顺电气,ST南风,万里马,森远股份,富煌钢构,ST蓝科,*ST宇顺,泰尔股份,清源股份,金明精机,美尔雅,*ST利源,国光电器,九安医疗,*ST安凯,*ST南糖,*ST保千,*ST猛狮,科泰电源,通达股份,红宇新材,
,前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),前收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),均价(元),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),A股流通股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),总股本(股),
1997-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8794,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-16,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-17,,,,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-18,,,,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-21,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-22,,,,23.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9303,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-23,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-24,,,,24.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,168880000,,,,,,,,,,,,,,,,,,,,,,,,,
