fund540006,fund000057,fund000082,fund000003,fund000067,fund000017,fund000083
2.014949,2.538071,2.922078,2.91411,1.333333,3.31825,2.94298
-0.802925,-1.5,-1.202887,-0.153139,-0.332226,-0.970874,-1.151515
-0.853659,-2.574809,-1.656151,-0.759878,-0.331126,-2.191381,-2.912621
-0.819782,-0.4158,-0.314465,0.458015,-0.330033,0.661765,-0.439367
-1.204899,-0.207469,-1.318852,0.152905,-0.164745,-0.51207,0.058617
0.513796,-0.069109,1.098039,1.395349,0.330579,1.034738,0.738116
-1.238921,-0.754458,-1.392111,-0.616333,-0.656814,-1.956522,-0.587027
0.217944,1.532033,1.015625,0.309119,-0.163934,1.769912,1.671143
-3.153283,-2.775897,-3.541824,-3.432836,-1.771337,-4.304869,-3.290043
-0.600801,-0.672495,-0.822123,-0.445765,-0.64,-1.391788,-0.687876
-0.376857,-1.26162,-0.372301,-0.148368,-0.318979,-0.553633,-0.936968
-0.857143,-0.594059,-0.885609,-0.589971,-0.317965,-1.162791,-0.92827
1.159282,1.951548,1.422156,0.892857,0.479233,1.810585,2.420052
-0.38599,-0.268456,-0.149477,-0.884956,-0.15949,-1.101928,-0.515907
-1.351436,-0.6004,-1.108647,-1.021898,-0.47619,-0.819672,-0.541619
-0.121575,-0.794176,-0.221239,0.146199,0.318471,-0.543478,-0.566893
-0.258069,-0.329815,0.073801,0,-0.158983,0.409277,-0.11325
1.141545,0.932091,1.422156,1.48368,0.64,2.089136,1.290508
0.397815,1.899593,0.451128,-1.0279,-0.159744,0.27933,1.959064
-1.191702,-1.667779,-1.115242,-1.161103,-0.476948,-1.648352,-1.75237
1.995036,3.236915,2.048558,0.583942,0.479233,2.032235,3.447251
-2.279158,-0.343171,-1.715138,-1.862464,-0.949367,-0.971548,-0.384843
-0.424175,-1.220339,-0.886918,-1.272984,-1.404056,-0.894085,-0.647059
0.065062,1.654032,0.37092,-0.282087,-0.155763,0.068823,2.132773
-0.419585,-0.137646,-0.736377,-1.11576,-0.155521,-0.886767,-0.060042
-0.402532,-0.954329,-0.585652,-1.103448,-0.310078,-0.744753,-0.239593
-1.703516,-1.34499,-1.229212,-0.956284,-0.769231,-0.471698,-1.533471
-0.442039,-0.201342,-0.288392,0,0,0.067431,-0.323339
0.334902,-0.067069,0.726216,1.244813,0.619195,1.159618,0.088261
1.165985,0.811359,0.805271,0.556328,0.310559,0.479781,0.950401
-0.389176,-1.136364,-0.726744,-0.690608,0,-1.017639,-1.289944
-0.637443,-0.133511,-0.578035,-0.821918,0,0.067889,-0.379673
0.339507,0.469484,0.727802,0.828729,0.311526,1.30674,0.292912
0.267469,1.153324,0.51207,-0.957592,0,0,1.456166
-0.697211,-0.740741,-0.581818,-0.679348,-0.465116,-0.886162,-0.532072
0.567613,0.883152,0.291758,-0.405954,0,-0.339674,0.624628
-0.027311,-0.135685,-0.218341,-0.404313,-0.154799,-0.473293,-0.1485
0.863124,0.958904,0.807043,1.089918,0.466563,0.067659,1.537998
1.443786,2.600141,1.792382,1.66205,1.100629,1.860786,2.630764
-0.257046,-0.070225,0,0.557103,0.15748,0,0.27933
0.981986,0.778485,0.752445,0.701262,0.474684,-0.068871,1.161695
0.131521,0.712758,0.453515,-0.55788,0.158479,0.345543,0.918885
0.604877,-0.637394,0.608365,0.27972,0,0.207756,-0.879397
-1.256766,-2.351314,-1.498127,-1.650619,-0.786164,-1.09589,-2.600184
-0.734931,-0.138122,-0.07485,-0.137363,-0.31348,0.898411,0
2.173844,2.695035,2.611367,2.247191,1.269841,1.901408,2.348153
0.322856,0,-0.534759,-1.248266,-0.943396,-1.933702,0.535096
-1.468937,-1.12202,-1.80045,-1.367989,-0.780031,-1.16041,-1.274083
0.561393,2.295552,0.908403,0,0.15625,0.342466,2.061529
0.889128,-0.214746,0.762777,1.386963,0.470958,1.884159,-0.031706
-0.850196,-1.964912,-1.944652,-1.232877,-0.624025,-2.208231,-1.37586
-1.504851,-1.452282,-1.328413,-0.409277,-0.927357,0.184615,-1.418002
-0.797008,-0.958904,-0.586941,-0.542741,-0.308166,-0.428922,-1.127705
-1.067508,-1.084011,-0.944767,-0.673854,-0.612557,-1.330109,-1.144923
0.423329,0.339905,0.584795,0.678426,0.616333,0.181708,0.881459
1.030769,1.658604,1.48368,0.68306,0.620155,0.793651,1.731602
0.299355,-0.618132,-0.074129,0.549451,0.15528,0.122249,-0.888753
-0.021598,1.111111,-0.295639,-0.410397,-0.155039,-0.304692,1.619433
-0.610261,0.208768,-0.660793,-0.544218,-0.154799,-0.545455,-0.093342
-0.256936,-0.553633,-0.21978,0.823045,0.623053,0.487211,-0.863664
0.153172,-0.687285,0.812408,0.690608,0.3125,0.736196,-0.338149
0.968141,2.464789,1.271503,0.277008,0.628931,1.242236,2.812895
-0.970993,-3.005464,-1.473839,-0.824176,-0.469484,-2.008521,-2.915005
0.709504,0.273973,1.344287,0.552486,0.313972,0.735745,0.153657
-0.692338,-0.205058,0.374813,0.416089,0.157233,0.616903,-1.034063
-2.790351,-2.336449,-3.122731,-2.567568,-2.003082,-2.875974,-2.259215
-0.765389,-1.512163,-1.1486,-0.671141,-0.30722,-1.707892,-2.123945
-0.872953,-1.105332,-0.783476,-0.40107,-0.306279,-0.817757,-0.578536
